Товар.Код	Товар.Наименование	Товарная группа
50095	Ноготков цветки цветки пак.бум. 50 г пач.картон. 1 Энси	247
50110	Ноготков цветки цветки пак.бум. 50 г пач.картон. 1 Иван-Чай	247
50111	Ноготков цветки цветки пак.бум. 30 г пач.картон. 1 Фарос-21	247
50128	Ноготков цветки цветки пак.бум. 50 г пач.картон. 1 Фитофарм ПКФ	247
50470	Нурофен Плюс табл.п.п.о. бл. 12 кор. 1 Boots Healthcare International	51
50642	Облепиховое масло супп.рект. 0,5 г уп.контурн.яч. 5 пач.картон. 2 Нижфарм	242
50646	Облепиховое масло масло фл.темн.стекл. 100 мл пач.картон. 1 Алтайвитамины	242
50647	Облепиховое масло масло фл.темн.стекл. 50 мл пач.картон. 1 Алтайвитамины	242
50780	Овса настойка настойка фл.темн.стекл. 100 мл кор. 1 Санкт-Петербургская фармфабрика	48
50837	Одуванчика корни лек.раст.сырье пак.бум. 50 г пач.картон. 1 Здоровье фирма	223
50850	Одуванчика корни лек.раст.сырье пак.бум. 50 г пач.картон. 1 Иван-Чай	223
51001	Окопник с витамином Е Доктор Тайсс мазь бан. 50 г кор. 1 Dr. Theiss Naturwaren	198
51130	Оксикорт аэроз.наружн. 38 г бал.аэроз. 55 мл пач.картон. 1 Tarchominskie Zaklady Farmaceutyczne "Pol	293
51131	Оксикорт мазь туба 10 г пач.картон. 1 Jelfa S.A.	293
51294	Октилия капли глазн. фл. 8 мл S.I.F.I.	234
51321	Окуметил капли глазн. фл.-кап.ПЭ 10 мл пач.картон. 1 Alexandria	234
51345	Олазоль аэроз.наружн. бал.аэроз. 80 г [с нас.] пач.картон. 1 Алтайвитамины	242
51385	Олететрина таблетки, покрытые оболочкой табл.п.о. 125000 ЕД бан.темн.стекл. 25 пач.картон. 1 Биосинт	259
51407	Олиговит табл.п.о. уп.контурн.яч. 10 пач.картон. 3 Ай Си Эн Октябрь	198
51849	Оринол капс. бл. 10 уп.карт. 1 Sagmel, Inc.	159
51851	Оринол Плюс капс. бл. 10 пач.картон. 1 Sagmel, Inc.	159
51928	Ортосифона тычиночного (Почечного чая) листья листья фильтр-пак. 1,5 г пач.картон. 20 Красногорсклек	236
51929	Ортосифона тычиночного (Почечного чая) листья листья фильтр-пак. 1,5 г пач.картон. 10 Красногорсклек	236
52091	Остеогенон табл.п.о. 830 мг бл. 10 кор. 4 Pierre Fabre Medicament Production	108
52126	Отипакс капли ушн. фл.темн.стекл. 16 г [с капельн.] кор. 1 Laboratoires Biocodex	247
52145	Отривин капли наз.детск. 0,05 % фл.-кап. 10 мл кор. 1 Novartis Consumer Health SA	234
52458	Панангин табл.п.о. фл. 50 кор. 1 Gedeon Richter	108
52563	Панкреофлат табл.п.о. уп.контурн.яч. 10 пач.картон. 2 Solvay Pharmaceuticals	191
52609	Пантенол-спрей аэроз.наружн. 4,63 г/100 г фл.с расп. 130 г пач.картон. 1 Ankerpharm	198
52754	Папаверина гидрохлорид р-р д/ин. 2 % амп. 2 мл [с нож.амп.] кор. 10 Верофарм (Воронежский филиал)	243
52780	Папаверина гидрохлорида раствор для инъекций 2% р-р д/ин. 2 % амп. 2 мл [с нож.амп.] кор. 10 Мосхимф	243
52782	Папаверина гидрохлорида раствор для инъекций 2% р-р д/ин. 2 % амп. 2 мл [с нож.амп.] кор. 10 Дальхим	243
52785	Папаверина гидрохлорида таблетки 0,04 г табл. 0,04 г уп.контурн.б/яч. 10 Асфарма	243
52796	Папаверина гидрохлорида таблетки 0,04 г табл. 0,04 г уп.контурн.б/яч. 10 Ирбитский химфармзавод	243
52798	Папаверина гидрохлорида таблетки 0,04 г табл. 0,04 г уп.контурн.б/яч. 10 Ай Си Эн Октябрь	243
52822	Папазол табл. уп.контурн.б/яч. 10 Ай Си Эн Томскхимфарм	243
52827	Папазол табл. уп.контурн.б/яч. 10 Ирбитский химфармзавод	243
52836	Папазол таблетки табл. уп.контурн.б/яч. 6 Борисовский ЗМП	243
53181	Пастушьей сумки трава трава пач.картон. 50 г Техмедсервис	173
53184	Пастушьей сумки трава трава пач.картон. 50 г Иван-Чай	173
53849	Персиковое масло масло фл. 50 мл Санкт-Петербургская фармфабрика	242
53907	Перфектил капс. бл. 15 кор. 2 Vitabiotics	198
54214	Пижмы цветки цветки пак.бум. 75 г пач.картон. 1 Красногорсклексредства	249
54255	Пижмы цветки цветки фильтр-пак. 1,5 г пач.картон. 20 Красногорсклексредства	249
54276	Пикамилон табл. 0,02 г фл.полимерн. 30 пач.картон. 1 Эхо НПК	46
54277	Пикамилон табл. 0,05 г фл.полимерн. 30 пач.картон. 1 Эхо НПК	46
54283	Пикамилон табл. 0,02 г бан.темн.стекл. 30 пач.картон. 1 Акрихин	46
54311	Пиковит Д пастилки бл. 10 кор. 3 KRKA	198
54336	Пилобакт табл./комплект стрип 6 [табл./компл. с капс.] кор. 7 Ranbaxy	259
54402	Пимафукорт крем туба 15 г кор. 1 Yamanouchi	293
54403	Пимафукорт мазь туба 15 г кор. 1 Yamanouchi	293
54418	Пиносол мазь наз. туба 10 г кор. 1 Slovakofarma	234
54419	Пиносол капли наз. фл.-кап. 10 мл кор. 1 Slovakofarma	234
54420	Пиносол крем наз. туба 10 г кор. 1 Slovakofarma	234
56380	Поливинилин-Русфар бальзам наружн. фл.темн.стекл. 50 г пач.картон. 1 Русичи-Фарма	247
56441	Полиглюкин р-р д/инф. фл.д/кровезам. 200 мл Биохимик	205
56465	Полидекса капли ушн. фл. 10,5 мл [с пипет.] Laboratoires du Docteur Emile Bouchara	293
56467	Полидекса с фенилефрином спрей наз. фл.с расп. 15 мл Laboratoires du Docteur Emile Bouchara	293
56652	Полифепан пор.д/сусп. для приема внутрь пак.ПЭ 250 г Экосфера	205
56659	Полифепан гран. бан. 50 г Сайнтек	205
56661	Полифепан гран. бан. 100 г Сайнтек	205
56664	Полифепан пор.д/сусп. для приема внутрь пак.бум.ламин.ПЭ 10 г пач.картон. 10 Сайнтек	205
56665	Полифепан гран. пак. 100 г Сайнтек	205
56666	Полифепан пор.д/сусп. для приема внутрь пак.бум.ламин.ПЭ 250 г пач.картон. 1 Сайнтек	205
56668	Полифепан пор.д/сусп. для приема внутрь пак.бум.ламин.ПЭ 100 г пач.картон. 1 Сайнтек	205
56669	Полифепан пор.д/сусп. для приема внутрь пак.бум.ламин.ПЭ 50 г пач.картон. 10 Сайнтек	205
56778	Полудан пор.лиоф.д/ин. 200 мкг 100 ЕД фл. 5 мл кор. 10 ЛЭНС-Фарм	33
57046	Постеризан форте супп.рект. бл. 5 кор. 2 Dr. Kade	213
57047	Постеризан форте мазь туба алюм. 25 г кор. 1 Dr. Kade	213
57168	Прегнавит капс. бл. 10 кор. 3 Merckle	198
57922	Прокто-Гливенол супп.рект. бл. 5 кор. 2 Novartis Consumer Health SA	50
57923	Прокто-Гливенол крем туба 30 г кор. 1 Novartis Consumer Health SA	50
57931	Проктоседил мазь туба 10 г [с канюлей-дозат.] кор. 1 Hoechst Marion Roussel	50
57935	Проктоседил М капс.рект. 500 мг фл.темн.стекл. 20 пач.картон. 1 Hoechst Marion Roussel	293
57990	Проноран табл.п.о. 50 мг уп.контурн.яч. 15 кор. 2 Servier	189
58040	Прополис мазь туба 30 г пач.картон. 1 Московская фармфабрика	48
58088	Прополиса настойка настойка фл.темн.стекл. 25 мл пач.картон. 1 Фитофарм-НН	242
58093	Прополиса настойка настойка фл. 25 мл Московская фармфабрика	242
58096	Прополиса настойка настойка фл.темн.стекл. 25 мл пач.картон. 1 Тверская фармфабрика	242
58181	Пропротен-100 капли фл.темн.стекл. 25 мл кор. 1 Материа Медика Холдинг	279
58182	Пропротен-100 табл. бан.полимерн. 50 кор. 1 Материа Медика Холдинг	279
58183	Пропротен-100 табл. бан.полимерн. 20 кор. 1 Материа Медика Холдинг	279
58488	Профилактин С табл.п.о. уп.контурн.яч. 30 пач.картон. 1 Glaxo Wellcome Poznan	196
58539	Псориатен мазь туба 50 г кор. 1 DHU	242
58590	Пульмекс мазь туба 40 г кор. 1 Novartis Consumer Health SA	247
58592	Пульмекс бэби мазь туба 20 г кор. 1 Novartis Consumer Health SA	247
60065	Релиф супп.рект. 2 г бл. 6 кор. 2 Sagmel, Inc.	173
60066	Релиф мазь рект. туба пластик. 28,4 г [с апплик.] пач.картон. 1 Sagmel, Inc.	173
60070	Релиф Адванс супп.рект. бл. 6 кор. 2 Sagmel, Inc.	173
60200	Реополиглюкин р-р д/инф. 10 % фл.д/кровезам. 400 мл Биохимик	205
60201	Реополиглюкин р-р д/инф. 10 % фл.д/кровезам. 200 мл Биохимик	205
60753	Ринза табл. уп.контурн.яч. 10 кор. 1 Unique	182
60761	Риниколд табл. уп.контурн.яч. 10 Shreya Life Sciences Pvt. Ltd.	234
61171	Ромазулан р-р д/местн.прим. и приема внутрь фл. 50 мл кор. 1 Biofarm, Medchim	243
61172	Ромазулан р-р д/местн.прим. и приема внутрь фл. 100 мл кор. 1 Biofarm, Medchim	243
61224	Ромашки цветки цветки пак.бум. 50 г пач.картон. 1 Красногорсклексредства	243
61227	Ромашки цветки цветки пак.бум. 50 г пач.картон. 1 Фитофарм ПКФ	243
61229	Ромашки цветки цветки фильтр-пак. 1,5 г пач.картон. 10 Красногорсклексредства	243
61230	Ромашки цветки цветки фильтр-пак. 1,5 г пач.картон. 20 Красногорсклексредства	243
61293	Ромашки цветки цветки пак.бум. 50 г пач.картон. 1 Техмедсервис	243
61297	Ромашки цветки цветки фильтр-пак. 1,5 г пач.картон. 20 Техмедсервис	243
61326	Ромашки цветки цветки пак.бум. 50 г пач.картон. 1 Фарос-21	243
61338	Ромашки цветков брикет круглый цветки/брикеты 7 г д/наружн.прим. уп.контурн.яч. 6 Красногорсклексред	243
61400	Ротокан экстр.жидк.комб. фл.темн.стекл. 50 мл пач.картон. 1 ВИЛАР ПЭЗ	242
61402	Ротокан экстр.жидк.комб. фл.темн.стекл. 50 мл ВИЛАР ПЭЗ	242
61816	Салин спрей наз. 0,65 % фл.с расп. 44 мл Sagmel, Inc.	117
61940	Салицилово-цинковая паста паста бан. 25 г Фитофарм-НН	242
62456	Сангвиритрина раствор 0,2% р-р спирт.наружн. 0,2 % фл.темн.стекл. 50 мл пач.картон. 1 ВИЛАР ПЭЗ	250
62534	Санорин спрей наз. 0,1 % фл. 10 мл [с расп.] Galena a.s.	234
62535	Санорин эмульс.наз. 0,1 % фл.-кап. 10 мл Galena a.s.	234
62536	Санорин капли наз. 0,1 % фл.-кап. 10 мл Galena a.s.	234
62537	Санорин капли наз. 0,05 % фл.-кап. 10 мл Galena a.s.	234
62539	Санорин-Аналергин капли глазн./наз. фл.-кап. 10 мл Galena a.s.	234
62712	Свечи с метилурацилом 0,5 г супп.рект. 500 мг уп.контурн.яч. 5 пач.картон. 2 Дальхимфарм	176
62727	Свечи с папаверина гидрохлоридом 0,02 г супп.рект. 0,02 г уп.контурн.яч. 5 пач.картон. 2 Нижфарм	243
62728	Свечи с папаверина гидрохлоридом 0,02 г супп. 20 мг уп.контурн.яч. 5 пач.картон. 2 Биосинтез	243
62730	Свечи с папаверина гидрохлоридом 0,02 г супп. 20 мг уп.контурн.яч. 5 пач.картон. 2 Дальхимфарм	243
62763	Свинцовая вода р-р наружн. фл. 100 мл Московская фармфабрика	242
62773	Себидин табл.д/рассас. бл. 20 кор. 1 Glaxo Wellcome Poznan	247
62799	Седал-М табл. уп.контурн.яч. 10 пач.картон. 2 Milve Pharmaceuticals	51
62807	Седальгин-Нео табл. уп.контурн.яч. 10 пач.картон. 2 Balkanpharma-Dupnitza AD	51
63217	Сермион пор.лиоф.д/ин. 4 мг фл. [с р-лем, амп.] пач.картон. 4 Pharmacia & Upjohn	218
63218	Сермион табл.п.о. 10 мг уп.контурн.яч. 25 пач.картон. 2 Pharmacia & Upjohn	218
63220	Сермион табл.п.о. 5 мг уп.контурн.яч. 15 пач.картон. 2 Pharmacia & Upjohn	218
63406	Сибектан табл. 100 мг уп.контурн.яч. 30 пач.картон. 1 ВИЛАР ПЭЗ	222
63783	Синупрет капли для приема внутрь фл.-кап.темн.стекл. 100 мл пач.картон. 1 Bionorica	234
63785	Синупрет драже уп.контурн.яч. 25 пач.картон. 2 Bionorica	234
63844	Сирдалуд табл. 2 мг уп.контурн.яч. 10 пач.картон. 3 Novartis Enterprises Private Ltd.	210
63847	Сирдалуд табл. 4 мг уп.контурн.яч. 10 пач.картон. 3 Novartis Enterprises Private Ltd.	210
64071	Скинорен крем 20 % туба 30 г кор. 1 Schering SA дочернее предприятие Schering AG	242
64232	Смесь для ингаляций жидк. фл. 40 мл Ярославская фармфабрика	247
64234	Смесь для ингаляций жидк. фл. 40 мл Московская фармфабрика	247
64235	Смесь для ингаляций р-р д/ингал. фл.темн.стекл. 40 мл пач.картон. 1 Тверская фармфабрика	247
64386	Солкосерил гель глазн. туба 5 г кор. 1 Solco Basel	196
64399	Солкосерил желе туба 20 г кор. 1 Solco Basel	196
64404	Солкосерил дентальная адгезивная паста паста стомат. туба 5 г кор. 1 Solco Basel	196
64463	Солодки корень корни пак.бум. 35 г пач.картон. 1 Красногорсклексредства	38
64472	Солодки корень корни пак.бум. 50 г пач.картон. 1 Красногорсклексредства	38
64513	Солодки корня сироп сироп фл. 100 мл Ярославская фармфабрика	38
64829	Софрадекс капли глазн./ушн. фл.темн.стекл. 5 мл [с капельн.] пач.картон. 1 Hoechst Marion Roussel	293
64879	Спазган р-р д/ин. амп. 5 мл уп.контурн.яч. 5 Wockhardt	243
64884	Спазган табл. уп.контурн.яч. 10 Wockhardt	243
64892	Спазмалгон табл. уп.контурн.яч. 10 пач.картон. 2 Balkanpharma-Dupnitza AD	243
64897	Спазмекс табл.п.о. 15 мг уп.контурн.яч. 10 кор. 3 Dr. R.Pfleger Chemische Fabrik	243
64899	Спазмекс табл. 5 мг уп.контурн.яч. 10 кор. 3 Dr. R.Pfleger Chemische Fabrik	243
64908	Спазмол табл. 0,04 г бан. 100 пач.картон. 1 Ай Си Эн Лексредства	243
64915	Спазмоцистенал р-р для приема внутрь фл.-кап.темн.стекл. 10 мл пен. 1 Galena a.s.	247
64955	Спеман табл.п.о. фл.пластик. 100 кор. 1 Himalaya	238
65828	Стоптуссин капли для приема внутрь фл.-кап.темн.стекл. 10 мл пач.картон. 1 Galena a.s.	38
65829	Стоптуссин табл. бл. 10 кор. 2 Galena a.s.	38
65840	Стрепсилс Плюс табл. бл. 8 кор. 2 Boots Healthcare International	247
65841	Стрепсилс Плюс спрей доз. фл.с дозат. 20 мл кор. 1 Boots Healthcare International	247
66005	Стрикс табл. бл. 30 кор. 1 Ferrosan	320
66083	Стугерон табл. 25 мг уп.контурн.яч. 25 кор. 2 Gedeon Richter	215
66642	Супрадин табл.шип. туба 10 кор. 1 Pharmacia-AD, Pharmachim Holding	198
66644	Супрадин драже бл. 10 кор. 3 F.Hoffmann La-Roche Ltd., made by Roche Products Ltd.	198
66647	Супрадин Рош табл.шип. туба 10 кор. 1 Laboratoires Roche-Nicholas	198
67106	Табекс табл.п.о. 1,5 мг уп.контурн.яч. 20 кор. 5 Sopharma	279
67351	Тамоксифена цитрата таблетки 0,01 г табл. 10 мг уп.контурн.яч. 10 пач.картон. 5 Оболенское - фармаце	64
67419	Танакан табл.п.о. 40 мг уп.контурн.яч. 15 пач.картон. 2 Beaufour Ipsen International	171
67420	Танакан табл.п.о. 40 мг уп.контурн.яч. 15 пач.картон. 6 Beaufour Ipsen International	171
67428	Танацехола таблетки, покрытые оболочкой, 0,05 г табл.п.о. 0,05 г уп.контурн.яч. 10 пач.картон. 3 ВИЛ	243
67442	Тантум Верде р-р наружн. 0,15 % фл. 120 мл кор. 1 Angelini Francesco	211
67443	Тантум Верде спрей доз. 0,255 мг/доза фл.с дозат. 30 мл кор. 1 Angelini Francesco	211
67482	Тардиферон табл.п.о.ретард бл. 10 кор. 3 Pierre Fabre Medicament Production	198
67551	Тауфона раствор 4% (глазные капли) капли глазн. 4 % фл.-кап. 10 мл пач.картон. 1 Славянская аптека О	197
67552	Тауфона раствор 4% (глазные капли) капли глазн. 4 % фл.-кап. 5 мл пач.картон. 1 Славянская аптека ОО	197
67553	Тауфона раствор 4% (глазные капли) капли глазн. 4 % фл. 5 мл Лекко - фармацевтическая фирма	197
67636	Теймурова паста паста бан. 50 г пач.картон. 1 Ласкрафт ЗАО	242
67639	Теймурова паста паста бан. 50 г Ласкрафт ЗАО	242
67782	Теодибаверин табл. уп.контурн.б/яч. 10 Ай Си Эн Томскхимфарм	243
68036	Терпинкод табл. уп.контурн.яч. 10 Ай Си Эн Томскхимфарм	38
68551	Тетралгин табл. уп.контурн.яч. 10 Notex L.L.C.	39
68774	Тизин капли наз. 0,1 % фл.-кап. 10 мл кор. 1 Pfizer	234
68775	Тизин капли наз.детск. 0,05 % фл.-кап. 10 мл кор. 1 Pfizer	234
68776	Тизин капли наз. 0,1 % фл.-кап. 15 мл пач.картон. 1 Pfizer	234
69207	Толокнянки листья пор. фильтр-пак. 1,5 г пач.картон. 20 Техмедсервис	236
69213	Толокнянки листья листья пак.бум. 50 г пач.картон. 1 Техмедсервис	236
69222	Толокнянки листья листья пак.бум. 100 г пач.картон. 1 Фарос-21	236
69240	Толокнянки листья листья пак.бум. 100 г пач.картон. 1 Красногорсклексредства	236
69241	Толокнянки листья пор. фильтр-пак. 1,5 г пач.картон. 10 Красногорсклексредства	236
69242	Толокнянки листья пор. фильтр-пак. 1,5 г пач.картон. 20 Красногорсклексредства	236
69244	Толокнянки листья листья пак.бум. 50 г пач.картон. 1 Красногорсклексредства	236
69349	Тонзилгон Н драже уп.контурн.яч. 25 пач.картон. 2 Bionorica	33
69350	Тонзилгон Н капли для приема внутрь фл.-кап.темн.стекл. 100 мл пач.картон. 1 Bionorica	33
69359	Тонзилотрен табл. бл. 20 кор. 3 DHU	296
69494	Тотема р-р для приема внутрь амп.темн.стекл. 10 мл пач.картон. 20 Laboratoire Innotech International	176
69854	Триган-Д инъекции р-р д/ин. 20 мг/2 мл амп. 2 мл кор. 5 Cadila Pharmaceuticals	243
69860	Тридерм мазь туба 15 г кор. 1 Schering-Plough (Brinny) Company	250
69861	Тридерм крем туба 15 г кор. 1 Schering-Plough Labo N.V.	250
69986	Трирезид К табл.п.о. бл. 10 кор. 4 Pliva	236
70280	Туссамаг сироп 9 г/100 г фл.темн.стекл. 200 г кор. 1 ct-Arzneimittel Chemische Tempelhof GmbH	247
70281	Туссамаг сироп 9 г/100 г б/сах. фл.темн.стекл. 175 г кор. 1 ct-Arzneimittel Chemische Tempelhof GmbH	247
70282	Туссамаг капли для приема внутрь фл.-кап.темн.стекл. 50 г кор. 1 ct-Arzneimittel Chemische Tempelhof	247
70284	Туссамаг капли для приема внутрь фл.-кап.темн.стекл. 20 г кор. 1 ct-Arzneimittel Chemische Tempelhof	247
70286	Туссамаг бальзам от простуды гель наружн. бан. 20 г кор. 1 ct-Arzneimittel Chemische Tempelhof GmbH	247
70297	Туссин плюс сироп 100 мг/5 мл фл. 118 мл [с мерн.стак.] кор. 1 Sagmel, Inc.	38
70340	Тыквеол экстр.масл. фл. 100 мл Европа-Биофарм	198
70343	Тыквеол в капсулах 450 мг капс. 450 мг фл. 84 Европа-Биофарм	198
70570	Угля активированного таблетки 0,25 г табл. 0,25 г уп.контурн.б/яч. 10 Уралбиофарм	205
70573	Угля активированного таблетки 0,25 г табл. 0,25 г уп.контурн.б/яч. 10 Ирбитский химфармзавод	205
70584	Уголь активированный табл. 0,25 г уп.контурн.б/яч. 10 Ай Си Эн Лексредства	205
70587	Уголь активированный МС табл. 250 мг уп.контурн.б/яч. 10 Медисорб	205
70963	Урифлорин табл. 300 мг уп.контурн.яч. 10 кор. 2 Московская фармфабрика	236
70985	Уролесан жидк. для приема внутрь фл.-кап.темн.стекл. 25 мл кор. 1 Галичфарм	247
71067	Урсосан капс. 250 мг уп.контурн.яч. 10 кор. 5 PRO.MED.CS Praha a.s.	222
71068	Урсосан капс. 250 мг уп.контурн.яч. 10 кор. 1 PRO.MED.CS Praha a.s.	222
71254	Фалиминт драже 25 мг бл. 20 кор. 1 Berlin-Chemie	50
71321	Фарингомед карамель с мед., лимон. обертка 5 г кор. 15 Материа Медика Холдинг	39
71322	Фарингомед карамель с банан. обертка 5 г кор. 15 Материа Медика Холдинг	39
71323	Фарингомед карамель с апельс. обертка 5 г кор. 15 Материа Медика	39
71325	Фарингомед карамель с малин. обертка 5 г кор. 15 Материа Медика Холдинг	39
71343	Фармазолин капли наз. 0,05 % фл. 10 мл кор. 1 Фармак	234
71344	Фармазолин капли наз. 0,1 % фл. 10 мл кор. 1 Фармак	234
71434	Фезам капс. уп.контурн.яч. 10 пач.картон. 6 Balkanpharma-Dupnitza AD	46
71776	Фенхеля плоды плоды пач.картон. 50 г Фито-ЭМ аграрно-промышленная компания	236
71790	Фенхеля плоды плоды пач.картон. 50 г Фарос-21	236
71801	Фенхеля плоды плоды пач.картон. 50 г Иван-Чай	236
71804	Фенюльс капс. бл. 10 кор. 1 Ranbaxy	198
71859	Ферезол р-р наружн. фл.темн.стекл. 10 г пач.картон. 1 РЕТИНОИДЫ	242
71905	Феррогематоген плитка 50 г плен. УфаВита	176
71918	Ферронал 35 сироп детск. 300 мг/5 мл фл.темн.стекл. 110 мл [с доз.стак.] пач.картон. 1 CTS Chemical	176
71922	Ферроплекс драже бан. 100 кор. 1 Biogal	176
71931	Феррум Лек табл.жев. 100 мг уп.контурн.б/яч. 10 пач.картон. 3 Lek	176
72057	ФиБС р-р д/ин.п/к амп. 1 мл [с нож.амп.] кор. 10 Биостимулятор Одесское ПХФО	48
72287	Фитолизин паста для приема внутрь туба 100 г пач.картон. 1 Herbapol, Warszawskie Zaklady Zielarskie	236
73107	Флюколдекс табл. стрип 12 кор. 1 Nabros Pharma	182
73114	Флюколдекс-Н табл. уп.контурн.яч. 4 пач.картон. 3 Nabros Pharma	198
73116	Флюколдекс-С пор.д/р-ра для приема внутрь саше 5 г пач.картон. 5 Nabros Pharma	198
73522	Фотил капли глазн. фл.-кап.пласт. 5 мл кор. 1 Santen	165
73609	Фридерм деготь шамп. фл.пластик. 150 мл кор. 1 Schering-Plough (Brinny) Company	242
73611	Фридерм рН-баланс шамп. фл. 150 мл кор. 1 Schering-Plough (Brinny) Company	242
73817	Фукорцин р-р наружн. фл.темн.стекл. 10 мл Ярославская фармфабрика	247
73820	Фукорцин р-р наружн. фл.темн.стекл. 10 мл Московская фармфабрика	247
74841	Хлорофиллипта раствор в масле 2% р-р масл. 2 % фл. 20 мл ОЗ ГНЦЛС	247
74987	Холензим табл.п.о. бан. 50 пач.картон. 1 Биосинтез	191
74992	Холензим таблетки, покрытые оболочкой табл.п.о. бан. 50 пач.картон. 1 Белмедпрепараты	191
75032	Холисал гель д/десен туба 10 г пач.картон. 1 Jelfa S.A.	211
75310	Целестодерм-В с гарамицином крем туба 30 г кор. 1 Schering-Plough Labo N.V.	253
75311	Целестодерм-В с гарамицином крем туба 15 г кор. 1 Schering-Plough Labo N.V.	253
75406	Центрум табл.п.о. фл. 30 кор. 1 Wyeth-Lederle	198
75421	Центрум Сильвер табл.п.о. фл.ПЭ 50 кор. 1 Wyeth-Ayerst Canada Inc.	198
76031	Цианокобаламин р-р д/ин. 0,05 % амп. 1 мл пач.картон. 10 Львовдиалек	176
76372	Цинковая мазь мазь бан.темн.стекл. 25 г пач.картон. 1 Фитофарм-НН	242
76382	Цинковая мазь мазь 10 % 25 г Ярославская фармфабрика	242
76437	Цинковая паста паста бан. 25 г Фитофарм-НН	242
76455	Циннабсин табл.д/рассас. бл. 20 кор. 5 DHU	296
76470	Циннаризин табл. 25 мг уп.контурн.яч. 50 пач.картон. 1 Balkanpharma-Dupnitza AD	215
76483	Циннаризин табл. 25 мг уп.контурн.яч. 10 пач.картон. 5 Мосхимфармпрепараты	215
76489	Циннаризин табл. 25 мг уп.контурн.яч. 10 пач.картон. 2 Нижфарм	215
76550	Циннаризина таблетки 0,025 г табл. 25 мг уп.контурн.яч. 50 Росмедпрепараты	215
76780	Цистенал капли для приема внутрь фл.-кап. 10 мл пач.картон. 1 Galena a.s.	243
76787	Цистон табл. фл.пластик. 100 кор. 1 Himalaya	247
77072	Цыгапан пор. 0,4 г уп.контурн.б/яч. 2 кор. 15 Планета Здоровья-2000	33
77073	Цыгапан капс. 0,4 г бан. 30 кор. 1 Планета Здоровья-2000	33
77074	Цыгапан табл. 0,4 г уп.контурн.б/яч. 6 кор. 5 Планета Здоровья-2000	33
77075	Цыгапан капс. 0,4 г бан. 60 кор. 1 Планета Здоровья-2000	33
77080	Цыгапан для детей капс. 0,2 г бан. 60 кор. 1 Планета Здоровья-2000	33
77129	Чабреца трава трава фильтр-пак. 1,5 г пач.картон. 20 Красногорсклексредства	247
77139	Чабреца трава трава фильтр-пак. 1,5 г пач.картон. 10 Красногорсклексредства	247
77699	Чемеричная вода настойка фл. 40 мл Фитофарм-НН	251
77751	Череды трава трава фильтр-пак. 1,5 г пач.картон. 10 Красногорсклексредства	236
77752	Череды трава трава фильтр-пак. 1,5 г пач.картон. 20 Красногорсклексредства	236
78105	Чистотела трава трава фильтр-пак. 1,5 г пач.картон. 20 Красногорсклексредства	242
78111	Чистотела трава трава фильтр-пак. 1,5 г пач.картон. 10 Красногорсклексредства	242
78188	Шалфея листья листья пак.бум. 50 г пач.картон. 1 Фитофарм-НН	247
78269	Шалфея листья листья пак.бум. 50 г пач.картон. 1 Красногорсклексредства	247
78461	Шиповника масло масло фл.темн.стекл. 50 мл кор. 1 Алтайвитамины	198
78483	Шиповника плодов сироп сироп детск. бут. 100 мл УфаВита	198
78549	Шиповника плоды плоды фильтр-пак. 4 г уп. 20 Фитофарм ПКФ	198
78558	Шиповника плоды плоды пак.бум. 100 г пач.картон. 1 Фитофарм ПКФ	198
78981	Эвкалипт табл.д/рассас. уп.контурн.яч. 10 кор. 2 Natur Product	247
78983	Доктор Тайсс Эвкалипт мазь бан. 50 г кор. 1 Dr. Theiss Naturwaren	247
79017	Эвкалипта настойка настойка фл. 25 мл Тверской витаминный завод	247
79029	Эвкалипта настойка настойка фл.темн.стекл. 25 мл пач.картон. 1 Фитофарм-НН	247
79036	Эвкалипта настойка настойка фл. 25 мл Ростовская фармфабрика	247
79038	Эвкалипта настойка настойка фл. 25 мл Санкт-Петербургская фармфабрика	247
79043	Эвкалипта настойка настойка фл.темн.стекл. 25 мл пач.картон. 1 Ватхэм-Фармация	247
79052	Эвкалипта настойка настойка фл. 25 мл Ярославская фармфабрика	247
79054	Эвкалипта настойка настойка фл. 25 мл Тверская фармфабрика	247
79060	Эвкалипта настойка настойка фл. 25 мл Московская фармфабрика	247
79107	Эвкалипта прутовидного листья лек.раст.сырье пак. 75 г пач.картон. 1 Красногорсклексредства	247
79124	Эвкалиптовое масло масло фл. 25 мл Мосхимфармпрепараты	247
79985	Элоком мазь 0,1 % туба 15 г кор. 1 Schering-Plough Labo N.V.	242
79986	Элоком крем 0,1 % туба 15 г кор. 1 Schering-Plough Labo N.V.	242
80005	Элькар р-р для приема внутрь 20 % фл.темн.стекл. 50 мл кор. 1 ИМГ РАН	198
80068	Эмоксипина раствор 1% капли глазн. 1 % фл. 5 мл [с крышк.-капельн.] кор. 1 Синтез АКО	171
80172	Энап-HЛ табл. 10 мг+12,5 мг уп.контурн.яч. 10 кор. 2 KRKA	236
80174	Энап-Н табл. 10 мг+25 мг уп.контурн.яч. 10 кор. 2 KRKA	236
80351	Энтеросгель гель пак.ПЭ 225 г кор. 1 СИЛМА	205
80494	Эплан крем туба 30 г Оберон НПП/ГОСНИИОХТ	247
80956	Эссливер форте капс. уп.контурн.яч. 10 кор. 5 Nabros Pharma	198
